"Site","Species","Abundance"
47,"Brosimum.alicastrum",1
48,"Brosimum.alicastrum",6
49,"Brosimum.alicastrum",4
50,"Brosimum.alicastrum",4
47,"Brosimum.guianense",1
2,"Calophyllum.longifolium",2
4,"Calophyllum.longifolium",2
5,"Calophyllum.longifolium",1
6,"Calophyllum.longifolium",2
7,"Calophyllum.longifolium",2
8,"Calophyllum.longifolium",2
9,"Calophyllum.longifolium",2
14,"Calophyllum.longifolium",4
16,"Calophyllum.longifolium",1
18,"Calophyllum.longifolium",4
19,"Calophyllum.longifolium",1
20,"Calophyllum.longifolium",2
21,"Calophyllum.longifolium",2
22,"Calophyllum.longifolium",1
23,"Calophyllum.longifolium",1
24,"Calophyllum.longifolium",2
25,"Calophyllum.longifolium",1
27,"Calophyllum.longifolium",1
28,"Calophyllum.longifolium",1
29,"Calophyllum.longifolium",1
31,"Calophyllum.longifolium",4
35,"Calophyllum.longifolium",1
37,"Calophyllum.longifolium",1
38,"Calophyllum.longifolium",1
40,"Calophyllum.longifolium",1
42,"Calophyllum.longifolium",1
44,"Calophyllum.longifolium",2
45,"Calophyllum.longifolium",3
46,"Calophyllum.longifolium",2
48,"Calophyllum.longifolium",2
49,"Calophyllum.longifolium",2
8,"Casearia.aculeata",1
13,"Casearia.aculeata",1
17,"Casearia.aculeata",1
21,"Casearia.aculeata",1
22,"Casearia.aculeata",1
25,"Casearia.aculeata",1
27,"Casearia.aculeata",2
30,"Casearia.aculeata",1
32,"Casearia.aculeata",1
34,"Casearia.aculeata",7
36,"Casearia.aculeata",1
37,"Casearia.aculeata",1
40,"Casearia.aculeata",1
41,"Casearia.aculeata",1
42,"Casearia.aculeata",1
44,"Casearia.aculeata",1
1,"Casearia.arborea",1
2,"Casearia.arborea",1
3,"Casearia.arborea",3
4,"Casearia.arborea",2
5,"Casearia.arborea",4
6,"Casearia.arborea",1
7,"Casearia.arborea",2
8,"Casearia.arborea",3
9,"Casearia.arborea",9
10,"Casearia.arborea",7
11,"Casearia.arborea",2
12,"Casearia.arborea",1
14,"Casearia.arborea",4
15,"Casearia.arborea",6
16,"Casearia.arborea",1
19,"Casearia.arborea",4
20,"Casearia.arborea",6
23,"Casearia.arborea",1
24,"Casearia.arborea",1
25,"Casearia.arborea",3
26,"Casearia.arborea",1
28,"Casearia.arborea",2
31,"Casearia.arborea",1
34,"Casearia.arborea",8
35,"Casearia.arborea",3
36,"Casearia.arborea",5
37,"Casearia.arborea",1
38,"Casearia.arborea",2
39,"Casearia.arborea",2
40,"Casearia.arborea",4
41,"Casearia.arborea",1
42,"Casearia.arborea",1
44,"Casearia.arborea",1
46,"Casearia.arborea",2
47,"Casearia.arborea",1
48,"Casearia.arborea",2
50,"Casearia.arborea",1
3,"Casearia.commersoniana",1
5,"Casearia.commersoniana",1
9,"Casearia.commersoniana",1
17,"Casearia.guianensis",1
46,"Casearia.guianensis",1
1,"Casearia.sylvestris",2
2,"Casearia.sylvestris",1
6,"Casearia.sylvestris",3
7,"Casearia.sylvestris",1
9,"Casearia.sylvestris",1
10,"Casearia.sylvestris",1
12,"Casearia.sylvestris",1
13,"Casearia.sylvestris",1
16,"Casearia.sylvestris",2
18,"Casearia.sylvestris",1
19,"Casearia.sylvestris",1
20,"Casearia.sylvestris",1
22,"Casearia.sylvestris",2
23,"Casearia.sylvestris",1
24,"Casearia.sylvestris",2
25,"Casearia.sylvestris",1
26,"Casearia.sylvestris",1
27,"Casearia.sylvestris",1
30,"Casearia.sylvestris",5
32,"Casearia.sylvestris",4
34,"Casearia.sylvestris",1
35,"Casearia.sylvestris",3
36,"Casearia.sylvestris",2
37,"Casearia.sylvestris",1
39,"Casearia.sylvestris",3
40,"Casearia.sylvestris",2
41,"Casearia.sylvestris",2
42,"Casearia.sylvestris",2
44,"Casearia.sylvestris",1
46,"Casearia.sylvestris",3
49,"Casearia.sylvestris",1
1,"Cassipourea.guianensis",2
3,"Cassipourea.guianensis",1
4,"Cassipourea.guianensis",1
5,"Cassipourea.guianensis",3
6,"Cassipourea.guianensis",4
7,"Cassipourea.guianensis",4
9,"Cassipourea.guianensis",2
10,"Cassipourea.guianensis",1
12,"Cassipourea.guianensis",2
13,"Cassipourea.guianensis",9
14,"Cassipourea.guianensis",3
16,"Cassipourea.guianensis",1
18,"Cassipourea.guianensis",6
19,"Cassipourea.guianensis",2
20,"Cassipourea.guianensis",3
21,"Cassipourea.guianensis",1
22,"Cassipourea.guianensis",2
23,"Cassipourea.guianensis",6
24,"Cassipourea.guianensis",1
25,"Cassipourea.guianensis",2
26,"Cassipourea.guianensis",2
28,"Cassipourea.guianensis",3
29,"Cassipourea.guianensis",3
30,"Cassipourea.guianensis",3
32,"Cassipourea.guianensis",1
34,"Cassipourea.guianensis",1
37,"Cassipourea.guianensis",2
38,"Cassipourea.guianensis",2
41,"Cassipourea.guianensis",2
42,"Cassipourea.guianensis",2
43,"Cassipourea.guianensis",2
45,"Cassipourea.guianensis",3
46,"Cassipourea.guianensis",1
47,"Cassipourea.guianensis",2
50,"Cassipourea.guianensis",2
25,"Cavanillesia.platanifolia",1
26,"Cavanillesia.platanifolia",3
27,"Cavanillesia.platanifolia",1
28,"Cavanillesia.platanifolia",1
30,"Cavanillesia.platanifolia",1
31,"Cavanillesia.platanifolia",1
32,"Cavanillesia.platanifolia",1
33,"Cavanillesia.platanifolia",1
34,"Cavanillesia.platanifolia",1
35,"Cavanillesia.platanifolia",1
38,"Cavanillesia.platanifolia",1
39,"Cavanillesia.platanifolia",1
40,"Cavanillesia.platanifolia",1
43,"Cavanillesia.platanifolia",1
47,"Cavanillesia.platanifolia",2
48,"Cavanillesia.platanifolia",1
1,"Cecropia.insignis",12
2,"Cecropia.insignis",5
3,"Cecropia.insignis",7
4,"Cecropia.insignis",17
5,"Cecropia.insignis",21
6,"Cecropia.insignis",4
8,"Cecropia.insignis",7
9,"Cecropia.insignis",2
10,"Cecropia.insignis",16
11,"Cecropia.insignis",3
12,"Cecropia.insignis",2
13,"Cecropia.insignis",1
14,"Cecropia.insignis",11
15,"Cecropia.insignis",24
16,"Cecropia.insignis",2
17,"Cecropia.insignis",3
19,"Cecropia.insignis",8
20,"Cecropia.insignis",11
21,"Cecropia.insignis",2
22,"Cecropia.insignis",1
23,"Cecropia.insignis",2
24,"Cecropia.insignis",3
25,"Cecropia.insignis",10
26,"Cecropia.insignis",1
27,"Cecropia.insignis",3
28,"Cecropia.insignis",3
29,"Cecropia.insignis",5
30,"Cecropia.insignis",14
31,"Cecropia.insignis",3
32,"Cecropia.insignis",4
33,"Cecropia.insignis",6
34,"Cecropia.insignis",2
35,"Cecropia.insignis",2
36,"Cecropia.insignis",6
37,"Cecropia.insignis",10
38,"Cecropia.insignis",6
39,"Cecropia.insignis",4
40,"Cecropia.insignis",2
41,"Cecropia.insignis",7
42,"Cecropia.insignis",2
43,"Cecropia.insignis",2
45,"Cecropia.insignis",5
46,"Cecropia.insignis",1
47,"Cecropia.insignis",2
5,"Cecropia.obtusifolia",1
8,"Cecropia.obtusifolia",2
10,"Cecropia.obtusifolia",2
12,"Cecropia.obtusifolia",1
13,"Cecropia.obtusifolia",1
14,"Cecropia.obtusifolia",1
19,"Cecropia.obtusifolia",3
21,"Cecropia.obtusifolia",4
23,"Cecropia.obtusifolia",3
25,"Cecropia.obtusifolia",1
29,"Cecropia.obtusifolia",1
30,"Cecropia.obtusifolia",1
33,"Cecropia.obtusifolia",1
34,"Cecropia.obtusifolia",1
44,"Cecropia.obtusifolia",1
49,"Cecropia.obtusifolia",1
15,"Cedrela.odorata",1
31,"Cedrela.odorata",1
2,"Ceiba.pentandra",1
3,"Ceiba.pentandra",1
5,"Ceiba.pentandra",1
8,"Ceiba.pentandra",1
10,"Ceiba.pentandra",1
11,"Ceiba.pentandra",2
13,"Ceiba.pentandra",2
15,"Ceiba.pentandra",2
16,"Ceiba.pentandra",1
17,"Ceiba.pentandra",2
20,"Ceiba.pentandra",1
21,"Ceiba.pentandra",2
22,"Ceiba.pentandra",2
23,"Ceiba.pentandra",2
24,"Ceiba.pentandra",1
25,"Ceiba.pentandra",1
26,"Ceiba.pentandra",1
27,"Ceiba.pentandra",2
29,"Ceiba.pentandra",3
30,"Ceiba.pentandra",1
32,"Ceiba.pentandra",1
33,"Ceiba.pentandra",1
35,"Ceiba.pentandra",1
36,"Ceiba.pentandra",1
37,"Ceiba.pentandra",1
38,"Ceiba.pentandra",1
41,"Ceiba.pentandra",1
46,"Ceiba.pentandra",2
4,"Celtis.schippii",2
5,"Celtis.schippii",2
7,"Celtis.schippii",1
12,"Celtis.schippii",1
15,"Celtis.schippii",1
16,"Celtis.schippii",2
17,"Celtis.schippii",1
19,"Celtis.schippii",1
20,"Celtis.schippii",3
21,"Celtis.schippii",2
22,"Celtis.schippii",1
23,"Celtis.schippii",1
24,"Celtis.schippii",4
30,"Celtis.schippii",1
32,"Celtis.schippii",1
33,"Celtis.schippii",1
34,"Celtis.schippii",1
38,"Celtis.schippii",1
39,"Celtis.schippii",1
41,"Celtis.schippii",1
43,"Celtis.schippii",1
44,"Celtis.schippii",1
45,"Celtis.schippii",3
47,"Celtis.schippii",2
48,"Celtis.schippii",1
49,"Celtis.schippii",1
16,"Cespedesia.spathulata",1
49,"Cespedesia.spathulata",1
18,"Chamguava.schippii",2
24,"Chamguava.schippii",1
13,"Chimarrhis.parviflora",1
18,"Maclura.tinctoria",1
16,"Chrysochlamys.eclipes",1
41,"Chrysochlamys.eclipes",1
1,"Chrysophyllum.argenteum",4
2,"Chrysophyllum.argenteum",1
3,"Chrysophyllum.argenteum",2
4,"Chrysophyllum.argenteum",2
5,"Chrysophyllum.argenteum",6
6,"Chrysophyllum.argenteum",2
7,"Chrysophyllum.argenteum",3
8,"Chrysophyllum.argenteum",2
9,"Chrysophyllum.argenteum",4
10,"Chrysophyllum.argenteum",2
11,"Chrysophyllum.argenteum",2
12,"Chrysophyllum.argenteum",1
13,"Chrysophyllum.argenteum",4
14,"Chrysophyllum.argenteum",2
15,"Chrysophyllum.argenteum",1
16,"Chrysophyllum.argenteum",2
17,"Chrysophyllum.argenteum",1
20,"Chrysophyllum.argenteum",2
21,"Chrysophyllum.argenteum",2
23,"Chrysophyllum.argenteum",1
24,"Chrysophyllum.argenteum",2
25,"Chrysophyllum.argenteum",1
27,"Chrysophyllum.argenteum",1
29,"Chrysophyllum.argenteum",3
30,"Chrysophyllum.argenteum",1
32,"Chrysophyllum.argenteum",1
33,"Chrysophyllum.argenteum",2
34,"Chrysophyllum.argenteum",1
35,"Chrysophyllum.argenteum",1
36,"Chrysophyllum.argenteum",3
37,"Chrysophyllum.argenteum",2
39,"Chrysophyllum.argenteum",2
41,"Chrysophyllum.argenteum",3
42,"Chrysophyllum.argenteum",2
44,"Chrysophyllum.argenteum",1
45,"Chrysophyllum.argenteum",2
46,"Chrysophyllum.argenteum",1
47,"Chrysophyllum.argenteum",5
48,"Chrysophyllum.argenteum",1
49,"Chrysophyllum.argenteum",2
50,"Chrysophyllum.argenteum",2
7,"Chrysophyllum.cainito",1
14,"Chrysophyllum.cainito",2
15,"Chrysophyllum.cainito",1
18,"Chrysophyllum.cainito",2
19,"Chrysophyllum.cainito",1
22,"Chrysophyllum.cainito",1
23,"Chrysophyllum.cainito",2
24,"Chrysophyllum.cainito",1
25,"Chrysophyllum.cainito",2
27,"Chrysophyllum.cainito",1
29,"Chrysophyllum.cainito",1
33,"Chrysophyllum.cainito",1
34,"Chrysophyllum.cainito",2
40,"Chrysophyllum.cainito",1
43,"Chrysophyllum.cainito",2
45,"Chrysophyllum.cainito",1
46,"Chrysophyllum.cainito",1
47,"Chrysophyllum.cainito",1
50,"Chrysophyllum.cainito",1
4,"Coccoloba.coronata",1
5,"Coccoloba.coronata",2
8,"Coccoloba.coronata",1
9,"Coccoloba.coronata",2
10,"Coccoloba.coronata",1
13,"Coccoloba.coronata",1
15,"Coccoloba.coronata",1
