,H2R1,H2R2,H2R3,H2R4,H3R1,H3R2,H3R3,H3R4,H4R1,H4R2,H4R3,H4R4,H5R1,H5R2,H5R3,H5R4,H6R1,H6R2,H6R3,H6R4,H7R1,H7R2,H7R3,H7R4
Gouldia cerina ?,0,0,0,0,2,2,2,1,1,6,6,6,83,48,7,50,0,0,0,0,0,0,0,0
Pitar fulimatus ?,0,0,0,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sipunculus norvegicus ?,0,0,0,0,0,1,0,0,0,2,1,1,7,19,7,11,0,0,0,0,0,0,0,0
Xanthidae,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Amphiuridae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Armandia maculata,0,0,0,0,0,0,0,0,2,1,0,0,37,21,17,25,0,1,0,0,1,0,0,1
Ampharetidae,0,0,0,0,0,0,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,0,1,1
Dodecaceria sp.,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio cristata,0,0,0,0,0,0,0,0,5,9,2,5,9,24,14,10,0,0,0,0,0,0,0,0
Dasybranchus sp.,0,0,0,0,0,0,0,0,5,8,0,4,36,34,9,37,0,0,2,0,0,0,0,0
Arabellidae,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Capitella capitata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megalomma bioculatum,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0
Abra incerta,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0
Rissonia sp.,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Crassinella lunulata,0,0,0,0,0,0,0,0,0,0,1,0,31,9,1,8,0,0,0,0,0,0,0,0
Ostracoda,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0
Tanais dulongii,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
Metapenaeopsis smithi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Caulleriella sp.,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,2,0,0,0,1,1,2,0,1
Megalomma sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sthenelais sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
Euclymene sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Melanella sp.,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Amphithoe rubricata,0,0,0,0,0,0,0,0,0,0,0,0,7,20,27,1,0,0,0,0,0,0,0,0
Elasmopus rapax,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Paraceris caudata,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Lysianassa punctata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0
Paranebalia longipes,0,0,0,0,0,0,0,0,0,0,0,0,11,12,37,0,0,0,0,0,0,0,0,0
Notomastus c.f. hemipodus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lumbrineris sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Bivalvia indet.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Penaeus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Cumacea,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0
Anthuridea,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Phyllodicidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Terebellides stroemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mellita appendiculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Tellina laevigata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Assymetron lucayanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Haminoe antillarum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
